년도,시군구코드,시도명,,폴리곤,총사고건수,총사망자수,총중상자수,총경상자수,총부상신고자수,사고분석유형명,중심점UTMK X좌표,중심점UTMK Y좌표
2017,48123,경상남도 창원시 성산구내에서 2017년도에 반경50m 이내 다른사고6건 이상 발생지역,38069,"POLYGON  (( 1106630.58430000 1691888.72920000, 1106634.13420000 1691889.80600000, 1106637.92620000 1691891.83290000, 1106641.13420000 1691892.80600000, 1106649.77850000 1691897.42650000, 1106657.35530000 1691903.64470000, 1106663.57350000 1691911.22150000",10,1,5,7,0,U턴중 / 기타,1106605,1691966
2017,48125,경상남도 창원시 마산합포구내에서 2017년도에 반경50m 이내 다른사고6건 이상 발생지역,38071,"POLYGON  (( 1096198.00000000 1686845.00000000, 1096197.83200000 1686846.70520000, 1096202.19400000 1686854.86580000, 1096205.03930000 1686864.24550000, 1096206.00000000 1686874.00000000, 1096205.03930000 1686883.75450000, 1096203.83760000 1686887.71570000",7,0,9,9,1,기타,1096149,1686882
2017,48125,경상남도 창원시 마산합포구내에서 2017년도에 반경50m 이내 다른사고6건 이상 발생지역,38072,"POLYGON  (( 1096820.00000000 1688593.00000000, 1096819.03930000 1688602.75450000, 1096816.19400000 1688612.13420000, 1096811.57350000 1688620.77850000, 1096805.35530000 1688628.35530000, 1096797.77850000 1688634.57350000, 1096789.13420000 1688639.19400000",6,0,0,10,0,기타 / 안전거리미확보,1096732,1688604
2017,48125,경상남도 창원시 마산합포구내에서 2017년도에 반경50m 이내 다른사고6건 이상 발생지역,38073,"POLYGON  (( 1096587.00000000 1687697.00000000, 1096586.03930000 1687706.75450000, 1096585.68670000 1687707.91680000, 1096586.19400000 1687708.86580000, 1096589.03930000 1687718.24550000, 1096590.00000000 1687728.00000000, 1096589.03930000 1687737.75450000",8,0,3,4,1,기타 / 신호위반,1096524,1687728
2017,48125,경상남도 창원시 마산합포구내에서 2017년도에 반경50m 이내 다른사고6건 이상 발생지역,38074,"POLYGON  (( 1096376.75450000 1687711.96070000, 1096376.91240000 1687712.00860000, 1096377.00000000 1687712.00000000, 1096386.75450000 1687712.96070000, 1096396.13420000 1687715.80600000, 1096404.77850000 1687720.42650000, 1096412.35530000 1687726.64470000",9,0,7,5,0,기타,1096343,1687787
2017,48125,경상남도 창원시 마산합포구내에서 2017년도에 반경50m 이내 다른사고6건 이상 발생지역,38075,"POLYGON  (( 1098908.00000000 1691088.00000000, 1098907.03930000 1691097.75450000, 1098905.75110000 1691102.00090000, 1098906.04920000 1691102.36410000, 1098911.77850000 1691105.42650000, 1098919.35530000 1691111.64470000, 1098925.57350000 1691119.22150000",8,0,3,9,0,기타 / 안전거리미확보,1098866,1691126
2017,48125,경상남도 창원시 마산합포구내에서 2017년도에 반경50m 이내 다른사고6건 이상 발생지역,38076,"POLYGON  (( 1097926.68610000 1691184.81270000, 1097931.35530000 1691188.64470000, 1097937.57350000 1691196.22150000, 1097942.19400000 1691204.86580000, 1097943.48010000 1691209.10570000, 1097945.35530000 1691210.64470000, 1097951.57350000 1691218.22150000",10,0,4,9,1,U턴중 / 기타 / 안전거리미확보,1097870,1691237
2017,48125,경상남도 창원시 마산합포구내에서 2017년도에 반경50m 이내 다른사고6건 이상 발생지역,38077,"POLYGON  (( 1097626.14030000 1690229.28180000, 1097630.19400000 1690236.86580000, 1097633.03930000 1690246.24550000, 1097634.00000000 1690256.00000000, 1097633.03930000 1690265.75450000, 1097630.19400000 1690275.13420000, 1097625.57350000 1690283.77850000",7,0,4,11,0,기타,1097578,1690250
2017,48125,경상남도 창원시 마산합포구내에서 2017년도에 반경50m 이내 다른사고6건 이상 발생지역,38078,"POLYGON  (( 1097547.97390000 1689943.45410000, 1097549.13420000 1689943.80600000, 1097557.77850000 1689948.42650000, 1097565.35530000 1689954.64470000, 1097571.57350000 1689962.22150000, 1097576.19400000 1689970.86580000, 1097579.03930000 1689980.24550000",8,0,3,9,1,기타,1097517,1689988
2017,48125,경상남도 창원시 마산합포구내에서 2017년도에 반경50m 이내 다른사고6건 이상 발생지역,38079,"POLYGON  (( 1097737.00000000 1690012.00000000, 1097736.03930000 1690021.75450000, 1097733.19400000 1690031.13420000, 1097731.05860000 1690035.12910000, 1097735.19400000 1690042.86580000, 1097738.03930000 1690052.24550000, 1097739.00000000 1690062.00000000",13,0,4,17,1,기타,1097658,1690060
